vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0.23,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.75,0.2
0.22,0.24,0.68,0.74,0.2
0.22,0.76,0.67,0.75,0.2
0.22,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.75,0.2
0.59,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.74,0.2
0.22,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.74,0.2
0.22,0.24,0.67,0.74,0.2
0.23,0.75,0.67,0.74,0.2
0.23,0.24,0.67,0.74,0.2
0.59,0.75,0.67,0.75,0.2
0.22,0.23,0.67,0.74,0.2
0.23,0.76,0.67,0.74,0.2
0.22,0.23,0.67,0.74,0.2
0.23,0.75,0.67,0.75,0.2
0.23,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.74,0.2
0.59,0.24,0.67,0.75,0.2
0.22,0.76,0.67,0.74,0.19
0.22,0.24,0.67,0.74,0.2
0.23,0.75,0.67,0.75,0.19
0.22,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.74,0.2
0.22,0.24,0.67,0.75,0.2
0.59,0.75,0.67,0.75,0.2
0.23,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.74,0.19
0.22,0.24,0.67,0.75,0.2
0.23,0.75,0.67,0.75,0.19
0.22,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.74,0.19
0.59,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.74,0.19
0.23,0.23,0.67,0.74,0.2
0.22,0.75,0.67,0.75,0.2
0.22,0.24,0.67,0.74,0.2
0.22,0.76,0.67,0.75,0.19
0.22,0.24,0.67,0.75,0.2
0.58,0.75,0.67,0.74,0.19
0.22,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.74,0.2
0.22,0.24,0.67,0.75,0.2
0.23,0.76,0.67,0.74,0.19
0.22,0.24,0.67,0.75,0.2
0.22,0.75,0.67,0.74,0.19
0.59,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.74,0.19
0.22,0.24,0.67,0.74,0.2
0.22,0.76,0.67,0.75,0.19
0.22,0.24,0.67,0.74,0.2
0.22,0.75,0.67,0.75,0.19
0.22,0.24,0.67,0.75,0.2
0.59,0.75,0.67,0.74,0.19
