vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0,0.65,37.14,0,9.72
0,53.91,37.13,0,8.41
0,0.59,37.16,0,9.72
0,53.03,37.12,0,5.9
0,0.57,37.14,0,9.72
0,53.43,37.13,0,5.65
0,0.66,37.12,0,9.72
0,53.3,37.13,0,4.94
0,0.66,37.13,0,9.72
0,53.48,37.16,0,4.24
0,0.65,37.14,0,9.72
0,53.73,37.13,0,4.49
0,0.64,37.13,0,9.72
0,53.35,37.12,0,3.83
0,0.63,37.12,0,9.72
0,53.33,37.13,0,4.02
0,0.64,37.12,0,9.72
0,53.23,37.14,0,3.7
0,0.6,37.14,0,9.72
0,53.22,37.13,0,3.85
0,0.65,37.12,0,9.72
0,53.6,37.14,0,4.18
0,0.69,37.14,0,9.72
0,53.46,37.13,0,4.09
0,0.65,37.13,0,9.72
0,53.36,37.14,0,3.79
0,0.61,37.15,0,9.72
0,53.39,37.14,0,4.07
0,0.63,37.13,0,9.72
0,53.27,37.14,0,3.95
0,0.7,37.13,0,9.72
0,53.24,37.13,0,3.42
0,0.68,37.12,0,9.72
0,53.92,37.13,0,3.76
0,0.7,37.13,0,9.72
0,53.19,37.14,0,3.09
0,0.65,37.14,0,9.72
0,53.5,37.13,0,3.77
0,0.6,37.14,0,9.72
0,53.39,37.15,0,3.12
0,0.7,37.13,0,9.72
0,53.42,37.15,0,3.2
0,0.63,37.12,0,9.72
0,53.52,37.13,0,3.31
0,0.65,37.12,0,9.72
0,53.46,37.13,0,3.06
0,0.68,37.12,0,9.72
0,53.37,37.14,0,2.87
0,0.71,37.14,0,9.72
0,53.26,37.12,0,3.04
0,0.67,37.15,0,9.72
0,53.36,37.12,0,2.97
0,0.65,37.12,0,9.72
0,53.58,37.11,0,2.95
0,0.66,37.14,0,9.72
0,53.44,37.14,0,3.13
0,0.62,37.13,0,9.72
0,53.36,37.15,0,3.24
0,0.68,37.12,0,9.72
0,53.43,37.14,0,3.08
0,0.66,37.14,0,9.72
0,53.21,37.12,0,2.87
0,0.63,37.14,0,9.72
0,53.29,37.13,0,2.95
0,0.73,37.14,0,9.72
0,53.43,37.12,0,2.99
0,0.66,37.12,0,9.72
0,53.29,37.13,0,2.78
0,0.67,37.12,0,9.72
0,53.91,37.14,0,2.6
0,0.68,37.14,0,9.72
0,53.64,37.14,0,2.79
0,0.66,37.13,0,9.72
0,53.2,37.13,0,2.92
0,0.65,37.14,0,9.72
0,53.75,37.14,0,3.03
0,0.58,37.14,0,9.72
0,53.65,37.12,0,2.75
0,0.61,37.13,0,9.72
0,53.31,37.13,0,2.71
0,0.65,37.12,0,9.72
0,53.53,37.12,0,2.62
0,0.62,37.13,0,9.72
0,53.77,37.13,0,3.03
0,0.66,37.14,0,9.72
0,53.21,37.13,0,3.15
0,0.61,37.13,0,9.72
0,53.33,37.13,0,2.88
0,0.65,37.14,0,9.72
0,53.31,37.14,0,2.82
0,0.63,37.13,0,9.72
0,53.19,37.14,0,2.92
0,0.67,37.14,0,9.72
0,53.24,37.11,0,2.7
0,0.61,37.12,0,9.72
0,53.57,37.11,0,2.72
0,0.7,37.12,0,9.72
0,53.49,37.15,0,3.01
0,0.67,37.12,0,9.72
0,53.47,37.12,0,2.69
0,0.63,37.13,0,9.72
0,53.42,37.15,0,2.76
0,0.62,37.14,0,9.72
0,53.28,37.13,0,2.66
0,0.66,37.13,0,9.72
0,53.3,37.13,0,2.76
0,0.66,37.12,0,9.72
0,53.56,37.13,0,2.86
0,0.68,37.11,0,9.72
0,53.17,37.13,0,3.04
0,0.67,37.14,0,9.72
0,53.68,37.13,0,2.92
0,0.68,37.13,0,9.72
0,53.43,37.13,0,2.47
0,0.62,37.14,0,9.72
0,53.24,37.12,0,2.79
0,0.68,37.12,0,9.72
0,53.79,37.12,0,2.57
0,0.6,37.15,0,9.72
0,53.37,37.12,0,2.85
0,0.7,37.13,0,9.72
0,53.49,37.12,0,3.17
0,0.64,37.11,0,9.72
0,53.6,37.14,0,2.54
0,0.61,37.13,0,9.72
0,53.38,37.11,0,2.85
0,0.65,37.11,0,9.72
0,53.34,37.13,0,2.61
0,0.65,37.14,0,9.72
0,53.34,37.13,0,2.9
0,0.63,37.12,0,9.72
0,53.13,37.11,0,2.63
0,0.63,37.15,0,9.72
0,53.22,37.14,0,2.58
0,0.69,37.13,0,9.72
0,53.6,37.13,0,2.67
0,0.68,37.13,0,9.72
0,53.23,37.12,0,2.56
0,0.71,37.12,0,9.72
0,53.43,37.12,0,2.76
0,0.64,37.15,0,9.72
0,53.32,37.14,0,2.79
0,0.57,37.14,0,9.72
0,54.1,37.14,0,2.93
0,0.63,37.12,0,9.72
0,53.17,37.13,0,2.98
0,0.69,37.13,0,9.72
0,53.55,37.13,0,2.65
0,0.65,37.13,0,9.72
0,53.54,37.14,0,2.57
0,0.64,37.13,0,9.72
0,53.27,37.13,0,2.97
0,0.61,37.12,0,9.72
0,53.69,37.14,0,2.45
0,0.59,37.11,0,9.72
0,53.38,37.14,0,2.57
0,0.6,37.13,0,9.72
0,53.27,37.14,0,2.68
0,0.64,37.13,0,9.72
0,53.42,37.13,0,2.63
0,0.72,37.14,0,9.72
0,53.42,37.13,0,2.91
0,0.64,37.12,0,9.72
0,53.24,37.12,0,2.65
0,0.65,37.13,0,9.72
0,53.43,37.12,0,2.48
0,0.66,37.12,0,9.72
0,53.58,37.13,0,2.55
0,0.66,37.15,0,9.72
0,53.25,37.13,0,2.92
0,0.6,37.13,0,9.72
0,53.42,37.11,0,2.46
0,0.69,37.13,0,9.72
0,53.31,37.12,0,2.68
0,0.61,37.14,0,9.72
0,53.22,37.13,0,2.65
0,0.66,37.14,0,9.72
0,53.14,37.13,0,3.01
0,0.66,37.12,0,9.72
0,54.02,37.11,0,2.81
0,0.62,37.14,0,9.72
0,53.3,37.12,0,2.38
0,0.67,37.15,0,9.72
0,53.33,37.13,0,2.74
0,0.68,37.12,0,9.72
0,53.42,37.14,0,2.45
0,0.7,37.14,0,9.72
0,53.37,37.15,0,2.7
0,0.62,37.12,0,9.72
0,53.23,37.15,0,2.46
0,0.65,37.14,0,9.72
0,53.54,37.14,0,2.95
0,0.62,37.12,0,9.72
0,53.38,37.13,0,2.8
0,0.66,37.12,0,9.72
0,53.49,37.11,0,2.44
0,0.67,37.13,0,9.72
0,53.75,37.14,0,2.63
0,0.65,37.14,0,9.72
0,53.29,37.11,0,2.75
0,0.69,37.12,0,9.72
0,53.45,37.12,0,2.32
0,0.69,37.13,0,9.72
0,53.4,37.14,0,2.9
0,0.72,37.12,0,9.72
0,53.35,37.14,0,2.5
0,0.69,37.14,0,9.72
0,53.31,37.12,0,2.64
0,0.57,37.13,0,9.72
0,53.47,37.11,0,2.4
0,0.68,37.12,0,9.72
0,53.28,37.15,0,2.77
0,0.73,37.13,0,9.72
0,53.37,37.12,0,2.76
0,0.7,37.15,0,9.72
0,53.36,37.12,0,2.36
0,0.64,37.13,0,9.72
0,53.28,37.12,0,2.51
0,0.61,37.14,0,9.72
0,53.41,37.13,0,2.67
0,0.69,37.13,0,9.72
0,53.17,37.12,0,2.77
0,0.65,37.15,0,9.72
0,53.43,37.14,0,2.69
